id,brand,colorway,estimatedMarketValue,gender,small_image_url,original_image_url,thumbnail_image_url,goat_link,stockx_link,flightclub_link,stadiumgoods_link,name,releaseYear,retailPrice,silhouette,sku,story,UID
3109,ASICS,"Black/Pure Silver",225.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/095/297/756/original/1203A430_001.png.png,https://image.goat.com/attachments/product_template_pictures/images/095/297/756/original/1203A430_001.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/095/297/756/original/1203A430_001.png.png,https://goat.com/sneakers/atmos-x-undermycar-x-gel-kayano-14-black-pure-silver-1203a430-001,https://stockx.com/asics-gel-kayano-14-atmos-undermycar-black,https://flightclub.com/atmos-x-undermycar-x-gel-kayano-14-black-pure-silver-1203a430-001,,"ASICS Gel-Kayano 14 atmos Undermycar Black",2023,150.00,"Gel Kayano",1203A430-001,,a9a624f2-89ca-40db-a3cc-4b0ecfc1402a
3110,ASICS,Pepper/Black,199.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/095/297/757/original/1203A430_200.png.png,https://image.goat.com/attachments/product_template_pictures/images/095/297/757/original/1203A430_200.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/095/297/757/original/1203A430_200.png.png,https://goat.com/sneakers/atmos-x-undermycar-x-gel-kayano-14-pepper-black-1203a430-200,https://stockx.com/asics-gel-kayano-14-atmos-undermycar-pepper,https://flightclub.com/atmos-x-undermycar-x-gel-kayano-14-pepper-black-1203a430-200,,"ASICS Gel-Kayano 14 atmos Undermycar Pepper",2023,150.00,"Gel Kayano",1203A430-200,"Japan’s atmos teams up with South Korean brand Undermycar on the ASICS GEL Kayano 14 ‘Pepper Black,’ featuring a dark olive mesh upper with grey synthetic overlays and black side stripes. ASICS branding adorns the tongue and sockliner, while a decorative metal plate marked with Undermycar and atmos logos can be attached to the upper eyelet. The lifestyle runner sits atop a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",c5987d3f-a6e9-4e25-8f71-13d3007b32ce
3111,ASICS,Cream/Bisque,73.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/090/955/575/original/1097948_00.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/955/575/original/1097948_00.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/955/575/original/1097948_00.png.png,https://goat.com/sneakers/gel-lyte-3-og-mythical-creatures-cream-1201a685-100,https://stockx.com/asics-gel-lyte-iii-og-cream-bisque,https://flightclub.com/gel-lyte-3-og-mythical-creatures-cream-1201a685-100,,"ASICS Gel-Lyte III OG Cream Bisque",2023,110.00,"Gel Lyte 3",1201A685-100,,70e8165c-90d0-4596-b866-071b11bebf17
3112,ASICS,Blush/Violet-Purple,283.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/095/522/394/original/1323313_00.png.png,https://image.goat.com/attachments/product_template_pictures/images/095/522/394/original/1323313_00.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/095/522/394/original/1323313_00.png.png,https://goat.com/sneakers/kith-x-gel-lyte-3-07-by-invitation-only-blush-kith-gl3-invitation-blush,https://stockx.com/asics-gel-lyte-iii-07-remastered-kith-by-invitation-only,https://flightclub.com/kith-x-gel-lyte-3-07-by-invitation-only-blush-kith-gl3-invitation-blush,,"ASICS Gel-Lyte III '07 Remastered Kith By Invitation Only",2023,195.00,"Gel Lyte 3",1201A923-800,,c8819376-50e2-4f9d-9e92-e7d9491e8d0c
3113,ASICS,"Storm Blue/Black",50.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/095/544/560/original/1011B603_405.png.png,https://image.goat.com/attachments/product_template_pictures/images/095/544/560/original/1011B603_405.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/095/544/560/original/1011B603_405.png.png,https://goat.com/sneakers/jolt-4-storm-blue-black-1011b603-405,,https://flightclub.com/jolt-4-storm-blue-black-1011b603-405,,"Jolt 4 'Storm Blue Black'",2023,65.00,Jolt,1011B603-405,,15febfdf-3c7e-4370-be7f-94d50a94be69
3114,ASICS,"Oatmeal/Indigo Blue",176.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/095/477/806/original/1201A938_250.png.png,https://image.goat.com/attachments/product_template_pictures/images/095/477/806/original/1201A938_250.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/095/477/806/original/1201A938_250.png.png,https://goat.com/sneakers/costs-x-gt-2160-shao-ji-1201a938-250,https://stockx.com/asics-gt-2160-costs-shao-ji,https://flightclub.com/costs-x-gt-2160-shao-ji-1201a938-250,,"ASICS GT-2160 COSTS Shao Ji",2023,140.00,"GT 2160",1201A938-250,,8a3d5ade-811c-4cfc-b1f3-d1c7696f4a98
3115,ASICS,"White/Light Garnet",295.00,women,https://image.goat.com/750/attachments/product_template_pictures/images/095/544/564/original/1012B506_100.png.png,https://image.goat.com/attachments/product_template_pictures/images/095/544/564/original/1012B506_100.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/095/544/564/original/1012B506_100.png.png,https://goat.com/sneakers/wmns-gt-2000-12-white-light-garnet-1012b506-100,,https://flightclub.com/wmns-gt-2000-12-white-light-garnet-1012b506-100,,"Wmns GT 2000 12 'White Light Garnet'",2023,140.00,"GT 2000",1012B506-100,,8b9f30b4-736f-4bcf-a85d-01bd97726612
3116,ASICS,"Posy Green/Bottle Green",159.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/094/502/119/original/1201A922_300.png.png,https://image.goat.com/attachments/product_template_pictures/images/094/502/119/original/1201A922_300.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/094/502/119/original/1201A922_300.png.png,https://goat.com/sneakers/unaffected-x-gel-kayano-14-infinite-wonders-pack-posy-green-1201a922-300,https://stockx.com/asics-gel-kayano-14-unaffected-infinite-wonders-pack-emerald-green,https://flightclub.com/unaffected-x-gel-kayano-14-infinite-wonders-pack-posy-green-1201a922-300,,"ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack Green",2023,200.00,"Gel Kayano",1201A922-300,"Dropping as part of the collaborative ‘Infinite Wonders Pack,’ the UNAFFECTED x ASICS GEL Kayano 14 ‘Posy Green’ celebrates the 30th anniversary of the vaunted GEL Kayano franchise. A revised toggle lacing system secures the upper, crafted from dark green mesh with glossy synthetic overlays in black and Bottle Green. In addition to co-branded sockliners, the lateral heel of each shoe displays mismatched ‘UNAFFECTED’ and ‘GEL Kayano 14’ branding. The lifestyle runner is mounted on a lightweight EVA midsole with GEL cushioning for improved comfort and impact protection.",3e75c72a-afc2-4adb-ac2c-53b099c5d819
3117,ASICS,"Dark Shadow/Pure Silver",193.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/094/896/075/original/1201A922_020.png.png,https://image.goat.com/attachments/product_template_pictures/images/094/896/075/original/1201A922_020.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/094/896/075/original/1201A922_020.png.png,https://goat.com/sneakers/unaffected-x-gel-kayano-14-infinite-wonders-pack-dark-shadow-1201a922-020,https://stockx.com/asics-gel-kayano-14-unaffected-infinite-wonders-pack-black,https://flightclub.com/unaffected-x-gel-kayano-14-infinite-wonders-pack-dark-shadow-1201a922-020,,"ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack Black Silver",2023,200.00,"Gel Kayano",1201A922-020,"The UNAFFECTED x ASICS GEL Kayano 14 ‘Dark Shadow’ is taken from the ‘Infinite Wonders Pack,’ a three-piece footwear collection designed in partnership with the South Korean brand. A toggle lacing system secures the upper, built with dark grey mesh and synthetic overlays in black and metallic silver. Dual branding appears on the insoles, while ‘UNAFFECTED’ and ‘GEL Kayano 14’ are stamped on the lateral heel of each shoe. The lifestyle runner rests on a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",416ee460-5196-4742-9a6a-8a621920c1b7
3118,ASICS,"Bright White/Jet Black",199.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/094/896/076/original/1201A922_100.png.png,https://image.goat.com/attachments/product_template_pictures/images/094/896/076/original/1201A922_100.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/094/896/076/original/1201A922_100.png.png,https://goat.com/sneakers/unaffected-x-gel-kayano-14-infinite-wonders-pack-bright-white-1201a922-100,https://stockx.com/asics-gel-kayano-14-unaffected-infinite-wonders-pack-white,https://flightclub.com/unaffected-x-gel-kayano-14-infinite-wonders-pack-bright-white-1201a922-100,,"ASICS Gel-Kayano 14 Unaffected Infinite Wonders Pack White",2023,200.00,"Gel Kayano",1201A922-100,"Launching as part of the collaborative ‘Infinite Wonders Pack,’ the UNAFFECTED x ASICS GEL Kayano 14 ‘Bright White’ updates the lifestyle runner with a modified design inspired by the great outdoors. Toggle lacing secures the upper, crafted from white mesh with tonal synthetic overlays. Contrasting black accents land on the ASICS tongue patch and heel overlay, marked with mismatched GEL Kayano 14 and UNAFFECTED branding on the lateral side of each shoe. The sneaker rides on a lightweight EVA midsole with visible GEL cushioning in the forefoot and heel.",841671a1-ee70-4f03-8e59-dc185a593b99
